epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,13758.3,0.21565,3.23454,1.39447,0.76809,0.71836,0.71378,0.46433,0.31614,4.24994,1.94789,0.0004456,0.0004456,0.0004456
86,15726,0.21456,3.23662,1.39419,0.80554,0.68759,0.76565,0.46331,0.31701,4.98827,1.87166,0.000439,0.000439,0.000439
87,18060.8,0.21658,3.27616,1.40191,0.84645,0.70746,0.77545,0.48955,0.31097,4.96532,1.8341,0.0004324,0.0004324,0.0004324
88,20340.5,0.22189,3.45476,1.42561,0.84076,0.77553,0.78875,0.48262,0.29761,4.10658,1.74237,0.0004258,0.0004258,0.0004258
89,22519,0.22264,3.42273,1.42224,0.81489,0.73156,0.72615,0.46873,0.30339,4.47547,1.74227,0.0004192,0.0004192,0.0004192
90,24624.5,0.22647,3.54267,1.43868,0.8517,0.74153,0.76341,0.44832,0.30816,4.93419,1.76423,0.0004126,0.0004126,0.0004126
91,26818.3,0.22482,3.51969,1.42319,0.79165,0.76489,0.76093,0.47548,0.295,4.65516,1.75302,0.000406,0.000406,0.000406
92,29229.5,0.21921,3.44899,1.41263,0.82937,0.6987,0.77171,0.49916,0.28527,4.62304,1.71107,0.0003994,0.0003994,0.0003994
93,31329.6,0.22547,3.69267,1.44011,0.78891,0.73156,0.7776,0.50194,0.2935,4.07807,1.74207,0.0003928,0.0003928,0.0003928
94,2244.3,0.206,3.01131,1.36723,0.80514,0.72695,0.76979,0.474,0.30272,4.6297,1.8233,0.0003862,0.0003862,0.0003862
95,4585.3,0.20699,2.92671,1.36672,0.79406,0.71497,0.78538,0.49372,0.2983,4.59935,1.78043,0.0003796,0.0003796,0.0003796
96,6762.89,0.20557,2.91793,1.36732,0.85548,0.75887,0.76923,0.46673,0.29904,4.32208,1.83746,0.000373,0.000373,0.000373
97,8910.17,0.20697,2.92245,1.37217,0.80252,0.72522,0.77865,0.49768,0.30341,4.56695,1.83261,0.0003664,0.0003664,0.0003664
98,10969.1,0.20771,3.01625,1.36674,0.77233,0.77723,0.78595,0.47515,0.31422,4.60952,1.88105,0.0003598,0.0003598,0.0003598
99,12799.3,0.20231,2.96529,1.35119,0.78159,0.74266,0.74527,0.47987,0.31576,5.00284,1.85365,0.0003532,0.0003532,0.0003532
100,14407.2,0.20458,2.93117,1.34723,0.84779,0.71028,0.76457,0.50829,0.28857,4.07514,1.75962,0.0003466,0.0003466,0.0003466
101,16007.1,0.20504,2.97778,1.35901,0.8575,0.71325,0.7529,0.48202,0.29574,4.43739,1.75933,0.00034,0.00034,0.00034
102,17601.3,0.20449,2.93046,1.35318,0.78422,0.71608,0.73703,0.49089,0.29366,5.09683,1.77394,0.0003334,0.0003334,0.0003334
103,19565.2,0.20868,3.02714,1.36669,0.76846,0.76002,0.77179,0.47523,0.29867,4.87674,1.71601,0.0003268,0.0003268,0.0003268
104,21823.4,0.21041,3.0404,1.37381,0.79919,0.75836,0.77828,0.4898,0.30488,4.70693,1.78648,0.0003202,0.0003202,0.0003202
105,24092.6,0.2116,3.13128,1.37894,0.82696,0.80191,0.79801,0.52356,0.28138,4.60933,1.65528,0.0003136,0.0003136,0.0003136
106,26130.3,0.21016,3.1329,1.36953,0.83174,0.71973,0.74982,0.48458,0.27526,4.63413,1.67297,0.000307,0.000307,0.000307
107,28362.7,0.20632,3.01555,1.36354,0.81865,0.78617,0.78789,0.52991,0.27506,4.38185,1.7428,0.0003004,0.0003004,0.0003004
108,30538.6,0.21088,3.22066,1.38145,0.82348,0.72601,0.79391,0.50039,0.29098,4.46407,1.79348,0.0002938,0.0002938,0.0002938
109,1656.26,0.19256,2.72105,1.31369,0.85428,0.69424,0.76952,0.51874,0.2826,4.77674,1.77746,0.0002872,0.0002872,0.0002872
110,3320.01,0.19497,2.70051,1.31828,0.8591,0.7229,0.7934,0.51519,0.28554,4.25449,1.80319,0.0002806,0.0002806,0.0002806
111,4959,0.19352,2.6674,1.31742,0.84352,0.77092,0.79152,0.52043,0.29005,3.97612,1.80797,0.000274,0.000274,0.000274
112,6591.39,0.19555,2.65436,1.32924,0.82033,0.72803,0.77706,0.49584,0.28883,4.04813,1.83271,0.0002674,0.0002674,0.0002674
113,8211.44,0.19657,2.74898,1.32307,0.75364,0.71788,0.73079,0.4715,0.29638,4.77977,1.8432,0.0002608,0.0002608,0.0002608
114,9873.88,0.19183,2.69569,1.31043,0.82501,0.75426,0.78714,0.51819,0.28253,4.29057,1.73205,0.0002542,0.0002542,0.0002542
115,11467,0.19225,2.65254,1.29933,0.84723,0.71091,0.77572,0.50944,0.26906,4.61114,1.65699,0.0002476,0.0002476,0.0002476
116,12967.8,0.19518,2.7233,1.3169,0.85179,0.72073,0.758,0.49388,0.28776,4.54422,1.76727,0.000241,0.000241,0.000241
117,14476.1,0.19086,2.64805,1.2987,0.80069,0.77826,0.76744,0.50992,0.26562,4.42614,1.63077,0.0002344,0.0002344,0.0002344
118,15992.7,0.19617,2.7558,1.31919,0.81739,0.72962,0.75228,0.47944,0.28239,4.97201,1.74742,0.0002278,0.0002278,0.0002278
119,17667.3,0.19589,2.72151,1.31414,0.87104,0.73275,0.77271,0.49906,0.28466,4.94949,1.77366,0.0002212,0.0002212,0.0002212
120,19554.8,0.19652,2.75336,1.31896,0.84421,0.7695,0.79836,0.51313,0.27682,4.60005,1.71409,0.0002146,0.0002146,0.0002146
121,21332,0.19527,2.75095,1.31385,0.82337,0.76828,0.79275,0.52249,0.2768,4.5653,1.72171,0.000208,0.000208,0.000208
122,23075.6,0.1912,2.65442,1.30722,0.83379,0.73759,0.77034,0.50478,0.27828,4.7883,1.75232,0.0002014,0.0002014,0.0002014
123,2246.03,0.18077,2.44668,1.27079,0.85187,0.68168,0.76182,0.50843,0.27263,4.3157,1.77048,0.0001948,0.0001948,0.0001948
124,4741.4,0.18046,2.42571,1.27018,0.83348,0.77553,0.79686,0.52167,0.26908,4.65528,1.75203,0.0001882,0.0001882,0.0001882
125,6921.34,0.18198,2.39102,1.27185,0.82657,0.76489,0.7816,0.51411,0.27503,4.46367,1.8125,0.0001816,0.0001816,0.0001816
126,1474.97,0.16874,2.20918,1.22846,0.81803,0.72092,0.75671,0.4978,0.27251,4.86264,1.76426,0.000175,0.000175,0.000175
127,3172.28,0.17228,2.24115,1.23644,0.77482,0.76489,0.77663,0.51751,0.27431,4.80922,1.76072,0.0001684,0.0001684,0.0001684
128,2047.86,0.15906,2.08762,1.1962,0.84486,0.75887,0.78328,0.52209,0.27696,4.75532,1.80924,0.0001618,0.0001618,0.0001618
129,3984.26,0.1628,2.10449,1.20853,0.8369,0.74163,0.78197,0.52637,0.27469,5.17733,1.78637,0.0001552,0.0001552,0.0001552
130,5888.27,0.17506,2.22722,1.24457,0.79186,0.76015,0.78921,0.52808,0.2765,4.99538,1.78464,0.0001486,0.0001486,0.0001486
131,7816.78,0.18333,2.38965,1.27651,0.79475,0.754,0.783,0.50688,0.29038,4.79946,1.84442,0.000142,0.000142,0.000142
132,9787.72,0.18154,2.41829,1.26937,0.78266,0.72553,0.7725,0.50801,0.28659,4.56553,1.81152,0.0001354,0.0001354,0.0001354
133,11859.1,0.1772,2.38812,1.25549,0.78352,0.73258,0.76987,0.50967,0.29771,4.97689,1.86571,0.0001288,0.0001288,0.0001288
134,14142.2,0.17848,2.33584,1.25044,0.79812,0.74823,0.77296,0.51173,0.2859,5.335,1.79566,0.0001222,0.0001222,0.0001222
135,16261.6,0.18158,2.37254,1.26169,0.82594,0.71194,0.76603,0.51676,0.27526,4.84277,1.78061,0.0001156,0.0001156,0.0001156
136,18771.3,0.17724,2.33201,1.25031,0.84797,0.72553,0.77744,0.52495,0.26959,4.52391,1.73386,0.000109,0.000109,0.000109
137,21546.7,0.18283,2.39128,1.2669,0.87833,0.70426,0.79919,0.54086,0.26354,4.39836,1.66882,0.0001024,0.0001024,0.0001024
138,24030.1,0.18098,2.38166,1.25894,0.83952,0.70617,0.77402,0.51378,0.27607,4.4653,1.73772,9.58e-05,9.58e-05,9.58e-05
139,25615.7,0.18089,2.39669,1.26167,0.81001,0.74823,0.77023,0.51256,0.27423,4.82601,1.75469,8.92e-05,8.92e-05,8.92e-05
140,2418.5,0.15482,2.02617,1.1802,0.86723,0.73869,0.786,0.52355,0.27399,5.2047,1.77689,8.26e-05,8.26e-05,8.26e-05
141,4709,0.17833,2.16934,1.25285,0.82786,0.73467,0.76373,0.50134,0.27157,4.7418,1.76707,7.6e-05,7.6e-05,7.6e-05
142,6899.63,0.17775,2.1207,1.25322,0.83952,0.73355,0.78645,0.51483,0.2766,4.69864,1.77179,6.94e-05,6.94e-05,6.94e-05
143,9249.21,0.17949,2.17073,1.24735,0.83307,0.72969,0.76642,0.50852,0.27013,4.58541,1.71084,6.28e-05,6.28e-05,6.28e-05
144,11361,0.1773,2.15331,1.24421,0.82326,0.7422,0.7623,0.50451,0.2702,4.61892,1.71147,5.62e-05,5.62e-05,5.62e-05
145,13479.7,0.17683,2.14056,1.24199,0.85845,0.72922,0.78078,0.52958,0.27093,4.6281,1.7106,4.96e-05,4.96e-05,4.96e-05
146,15730.5,0.17379,2.10275,1.23034,0.81705,0.75255,0.76457,0.51633,0.2798,4.75737,1.79044,4.3e-05,4.3e-05,4.3e-05
147,18256,0.17477,2.08864,1.23847,0.78782,0.75284,0.74583,0.50397,0.27651,4.63621,1.76852,3.64e-05,3.64e-05,3.64e-05
148,20752.6,0.173,2.02995,1.23018,0.83468,0.73191,0.76384,0.52207,0.27614,4.70519,1.75757,2.98e-05,2.98e-05,2.98e-05
149,23240.8,0.17484,2.08285,1.23124,0.79841,0.74888,0.76557,0.51877,0.27643,4.68854,1.75938,2.32e-05,2.32e-05,2.32e-05
150,25919.3,0.17171,2.05158,1.22513,0.82461,0.73617,0.76831,0.5219,0.27581,4.66978,1.75187,1.66e-05,1.66e-05,1.66e-05
